GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CSVHandler,default,Grafo,215,620,20,68,40,133,20,48,3,17
CSVHandler,default,Propriedade,0,116,0,0,0,29,0,15,0,15
CSVHandler,default,CSVHandler,14,170,0,6,6,34,0,6,0,3
CSVHandler,default,GrafoVisual,4,175,5,11,1,39,6,4,1,1
CSVHandler,default,SugestaoTroca,0,94,0,0,0,18,0,8,0,8
CSVHandler,default,Main,194,0,14,0,40,0,9,0,2,0
